,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp
133,05/02/2020,5,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
134,04/02/2020,4,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
135,03/02/2020,3,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
136,02/02/2020,2,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
137,01/02/2020,1,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
138,31/01/2020,31,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
139,30/01/2020,30,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
140,29/01/2020,29,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
141,28/01/2020,28,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
142,27/01/2020,27,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
143,26/01/2020,26,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
144,25/01/2020,25,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
145,24/01/2020,24,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
146,23/01/2020,23,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
147,22/01/2020,22,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
148,21/01/2020,21,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
149,20/01/2020,20,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
150,19/01/2020,19,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
151,18/01/2020,18,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
152,17/01/2020,17,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
153,16/01/2020,16,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
154,15/01/2020,15,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
155,14/01/2020,14,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
156,13/01/2020,13,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
157,12/01/2020,12,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
158,11/01/2020,11,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
159,10/01/2020,10,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
160,09/01/2020,9,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
161,08/01/2020,8,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
162,07/01/2020,7,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
163,06/01/2020,6,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
164,05/01/2020,5,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
165,04/01/2020,4,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
166,03/01/2020,3,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
167,02/01/2020,2,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
168,01/01/2020,1,1,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
169,31/12/2019,31,12,2019,0,0,Afghanistan,AF,AFG,38041757.0,Asia
170,27/06/2020,27,6,2020,77,2,Albania,AL,ALB,2862427.0,Europe
171,26/06/2020,26,6,2020,78,2,Albania,AL,ALB,2862427.0,Europe
172,25/06/2020,25,6,2020,67,2,Albania,AL,ALB,2862427.0,Europe
173,24/06/2020,24,6,2020,52,1,Albania,AL,ALB,2862427.0,Europe
174,23/06/2020,23,6,2020,68,0,Albania,AL,ALB,2862427.0,Europe
175,22/06/2020,22,6,2020,36,1,Albania,AL,ALB,2862427.0,Europe
176,21/06/2020,21,6,2020,53,1,Albania,AL,ALB,2862427.0,Europe
177,20/06/2020,20,6,2020,50,3,Albania,AL,ALB,2862427.0,Europe
178,19/06/2020,19,6,2020,66,1,Albania,AL,ALB,2862427.0,Europe
179,18/06/2020,18,6,2020,50,1,Albania,AL,ALB,2862427.0,Europe
180,17/06/2020,17,6,2020,82,1,Albania,AL,ALB,2862427.0,Europe
181,16/06/2020,16,6,2020,69,0,Albania,AL,ALB,2862427.0,Europe
182,15/06/2020,15,6,2020,57,0,Albania,AL,ALB,2862427.0,Europe
183,14/06/2020,14,6,2020,48,0,Albania,AL,ALB,2862427.0,Europe
184,13/06/2020,13,6,2020,31,1,Albania,AL,ALB,2862427.0,Europe
185,12/06/2020,12,6,2020,44,1,Albania,AL,ALB,2862427.0,Europe
186,11/06/2020,11,6,2020,42,0,Albania,AL,ALB,2862427.0,Europe
187,10/06/2020,10,6,2020,36,0,Albania,AL,ALB,2862427.0,Europe
188,09/06/2020,9,6,2020,17,0,Albania,AL,ALB,2862427.0,Europe
189,08/06/2020,8,6,2020,14,0,Albania,AL,ALB,2862427.0,Europe
190,07/06/2020,7,6,2020,20,1,Albania,AL,ALB,2862427.0,Europe
191,06/06/2020,6,6,2020,15,0,Albania,AL,ALB,2862427.0,Europe
192,05/06/2020,5,6,2020,13,0,Albania,AL,ALB,2862427.0,Europe
193,04/06/2020,4,6,2020,20,0,Albania,AL,ALB,2862427.0,Europe
194,03/06/2020,3,6,2020,21,0,Albania,AL,ALB,2862427.0,Europe
195,02/06/2020,2,6,2020,6,0,Albania,AL,ALB,2862427.0,Europe
196,01/06/2020,1,6,2020,15,0,Albania,AL,ALB,2862427.0,Europe
197,31/05/2020,31,5,2020,23,0,Albania,AL,ALB,2862427.0,Europe
198,30/05/2020,30,5,2020,23,0,Albania,AL,ALB,2862427.0,Europe
199,29/05/2020,29,5,2020,26,0,Albania,AL,ALB,2862427.0,Europe
200,28/05/2020,28,5,2020,21,0,Albania,AL,ALB,2862427.0,Europe
201,27/05/2020,27,5,2020,25,1,Albania,AL,ALB,2862427.0,Europe
202,26/05/2020,26,5,2020,6,0,Albania,AL,ALB,2862427.0,Europe
203,25/05/2020,25,5,2020,9,1,Albania,AL,ALB,2862427.0,Europe
204,24/05/2020,24,5,2020,8,0,Albania,AL,ALB,2862427.0,Europe
